"harmonic","aspect_degree","dms","name","prime","prime_factorization","natal_definition","transit_definition","harmony_definition","source"
"97","3.71134","3° 42' 41""","—","Yes","97","Prime H97: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"98","3.673469","3° 40' 24""","—","No","2 × 7^2","Blend of prime factors: H2 (pressure/polarity) + H7² (fate/inspiration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 7^2 quality blend activates at tight orb (<0.16°). Active only at near-exact contact.","2 × 7^2 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"99","3.636364","3° 38' 11""","—","No","3^2 × 11","Blend of prime factors: H3² (ease/flow) + H11 (Uranian excess). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3^2 × 11 quality blend activates at tight orb (<0.16°). Active only at near-exact contact.","3^2 × 11 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"100","3.6","3° 36' 00""","—","No","2^2 × 5^2","Blend of prime factors: H2² (pressure/polarity) + H5² (creative form). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 5^2 quality blend activates at tight orb (<0.16°). Active only at near-exact contact.","2^2 × 5^2 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"101","3.564356","3° 33' 52""","—","Yes","101","Prime H101: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"102","3.529412","3° 31' 46""","—","No","2 × 3 × 17","Blend of prime factors: H2 (pressure/polarity) + H3 (ease/flow) + H17 (narrative reconfiguration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 3 × 17 quality blend activates at tight orb (<0.16°). Active only at near-exact contact.","2 × 3 × 17 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"103","3.495146","3° 29' 43""","—","Yes","103","Prime H103: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"104","3.461538","3° 27' 42""","—","No","2^3 × 13","Blend of prime factors: H2³ (pressure/polarity) + H13 (transformation/lordship). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^3 × 13 quality blend activates at tight orb (<0.15°). Active only at near-exact contact.","2^3 × 13 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"105","3.428571","3° 25' 43""","—","No","3 × 5 × 7","Blend of prime factors: H3 (ease/flow) + H5 (creative form) + H7 (fate/inspiration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 5 × 7 quality blend activates at tight orb (<0.15°). Active only at near-exact contact.","3 × 5 × 7 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"106","3.396226","3° 23' 46""","—","No","2 × 53","Blend of prime factors: H2 (pressure/polarity) + H53 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 53 quality blend activates at tight orb (<0.15°). Active only at near-exact contact.","2 × 53 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"107","3.364486","3° 21' 52""","—","Yes","107","Prime H107: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"108","3.333333","3° 20' 00""","—","No","2^2 × 3^3","2² × 3³ = cosmologically complete number (108 Vedic/Buddhist; 12 signs × 9 navamsas). Natal completion of a major dharmic cycle; cosmic life-template.","Activation of a major cosmic cycle completion.","Sacred cosmological number — 12 × 9; complete dharmic synthesis (Vedic tradition).","Derived (factor blend)"
"109","3.302752","3° 18' 10""","—","Yes","109","Prime H109: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"110","3.272727","3° 16' 22""","—","No","2 × 5 × 11","Blend of prime factors: H2 (pressure/polarity) + H5 (creative form) + H11 (Uranian excess). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 5 × 11 quality blend activates at tight orb (<0.15°). Active only at near-exact contact.","2 × 5 × 11 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"111","3.243243","3° 14' 36""","—","No","3 × 37","Blend of prime factors: H3 (ease/flow) + H37 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 37 quality blend activates at tight orb (<0.14°). Active only at near-exact contact.","3 × 37 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"112","3.214286","3° 12' 51""","—","No","2^4 × 7","Blend of prime factors: H2^4 (pressure/polarity) + H7 (fate/inspiration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^4 × 7 quality blend activates at tight orb (<0.14°). Active only at near-exact contact.","2^4 × 7 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"113","3.185841","3° 11' 09""","—","Yes","113","Prime H113: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"114","3.157895","3° 09' 28""","—","No","2 × 3 × 19","Blend of prime factors: H2 (pressure/polarity) + H3 (ease/flow) + H19 (abstract cerebral). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 3 × 19 quality blend activates at tight orb (<0.14°). Active only at near-exact contact.","2 × 3 × 19 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"115","3.130435","3° 07' 50""","—","No","5 × 23","Blend of prime factors: H5 (creative form) + H23 (novel configurations). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 5 × 23 quality blend activates at tight orb (<0.14°). Active only at near-exact contact.","5 × 23 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"116","3.103448","3° 06' 12""","—","No","2^2 × 29","Blend of prime factors: H2² (pressure/polarity) + H29 (paradigm options). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 29 quality blend activates at tight orb (<0.14°). Active only at near-exact contact.","2^2 × 29 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"117","3.076923","3° 04' 37""","—","No","3^2 × 13","Blend of prime factors: H3² (ease/flow) + H13 (transformation/lordship). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3^2 × 13 quality blend activates at tight orb (<0.14°). Active only at near-exact contact.","3^2 × 13 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"118","3.050847","3° 03' 03""","—","No","2 × 59","Blend of prime factors: H2 (pressure/polarity) + H59 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 59 quality blend activates at tight orb (<0.14°). Active only at near-exact contact.","2 × 59 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"119","3.02521","3° 01' 31""","—","No","7 × 17","Blend of prime factors: H7 (fate/inspiration) + H17 (narrative reconfiguration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 7 × 17 quality blend activates at tight orb (<0.13°). Active only at near-exact contact.","7 × 17 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"120","3.0","3° 00' 00""","—","No","2^3 × 3 × 5","Blend of prime factors: H2³ (pressure/polarity) + H3 (ease/flow) + H5 (creative form). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^3 × 3 × 5 quality blend activates at tight orb (<0.13°). Active only at near-exact contact.","2^3 × 3 × 5 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"121","2.975207","2° 58' 31""","—","No","11^2","Blend of prime factors: H11² (Uranian excess). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 11^2 quality blend activates at tight orb (<0.13°). Active only at near-exact contact.","11^2 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"122","2.95082","2° 57' 03""","—","No","2 × 61","Blend of prime factors: H2 (pressure/polarity) + H61 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 61 quality blend activates at tight orb (<0.13°). Active only at near-exact contact.","2 × 61 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"123","2.926829","2° 55' 37""","—","No","3 × 41","Blend of prime factors: H3 (ease/flow) + H41 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 41 quality blend activates at tight orb (<0.13°). Active only at near-exact contact.","3 × 41 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"124","2.903226","2° 54' 12""","—","No","2^2 × 31","Blend of prime factors: H2² (pressure/polarity) + H31 (limits of systems). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 31 quality blend activates at tight orb (<0.13°). Active only at near-exact contact.","2^2 × 31 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"125","2.88","2° 52' 48""","—","No","5^3","5³: quintile cubed — creativity at maximum intensity; driven compulsive form-maker.","Intense creative output; forms emerge relentlessly.","5³ — pure fiveness to the cube; the obsessive creator.","Derived (factor blend)"
"126","2.857143","2° 51' 26""","—","No","2 × 3^2 × 7","Blend of prime factors: H2 (pressure/polarity) + H3² (ease/flow) + H7 (fate/inspiration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 3^2 × 7 quality blend activates at tight orb (<0.13°). Active only at near-exact contact.","2 × 3^2 × 7 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"127","2.834646","2° 50' 05""","—","Yes","127","Prime H127: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"128","2.8125","2° 48' 45""","—","No","2^7","2⁷: deepest octave — the most extreme subliminal inner drive. Almost inaccessible to consciousness.","Extremely subtle pressure; practically imperceptible.","2⁷ — octave to the seventh; maximum instinctual cross.","Derived (factor blend)"
"129","2.790698","2° 47' 27""","—","No","3 × 43","Blend of prime factors: H3 (ease/flow) + H43 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 43 quality blend activates at tight orb (<0.12°). Active only at near-exact contact.","3 × 43 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"130","2.769231","2° 46' 09""","—","No","2 × 5 × 13","Blend of prime factors: H2 (pressure/polarity) + H5 (creative form) + H13 (transformation/lordship). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 5 × 13 quality blend activates at tight orb (<0.12°). Active only at near-exact contact.","2 × 5 × 13 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"131","2.748092","2° 44' 53""","—","Yes","131","Prime H131: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"132","2.727273","2° 43' 38""","—","No","2^2 × 3 × 11","Blend of prime factors: H2² (pressure/polarity) + H3 (ease/flow) + H11 (Uranian excess). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 3 × 11 quality blend activates at tight orb (<0.12°). Active only at near-exact contact.","2^2 × 3 × 11 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"133","2.706767","2° 42' 24""","—","No","7 × 19","Blend of prime factors: H7 (fate/inspiration) + H19 (abstract cerebral). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 7 × 19 quality blend activates at tight orb (<0.12°). Active only at near-exact contact.","7 × 19 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"134","2.686567","2° 41' 12""","—","No","2 × 67","Blend of prime factors: H2 (pressure/polarity) + H67 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 67 quality blend activates at tight orb (<0.12°). Active only at near-exact contact.","2 × 67 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"135","2.666667","2° 40' 00""","—","No","3^3 × 5","Blend of prime factors: H3³ (ease/flow) + H5 (creative form). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3^3 × 5 quality blend activates at tight orb (<0.12°). Active only at near-exact contact.","3^3 × 5 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"136","2.647059","2° 38' 49""","—","No","2^3 × 17","Blend of prime factors: H2³ (pressure/polarity) + H17 (narrative reconfiguration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^3 × 17 quality blend activates at tight orb (<0.12°). Active only at near-exact contact.","2^3 × 17 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"137","2.627737","2° 37' 40""","—","Yes","137","Prime H137: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"138","2.608696","2° 36' 31""","—","No","2 × 3 × 23","Blend of prime factors: H2 (pressure/polarity) + H3 (ease/flow) + H23 (novel configurations). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 3 × 23 quality blend activates at tight orb (<0.12°). Active only at near-exact contact.","2 × 3 × 23 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"139","2.589928","2° 35' 24""","—","Yes","139","Prime H139: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"140","2.571429","2° 34' 17""","—","No","2^2 × 5 × 7","Blend of prime factors: H2² (pressure/polarity) + H5 (creative form) + H7 (fate/inspiration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 5 × 7 quality blend activates at tight orb (<0.11°). Active only at near-exact contact.","2^2 × 5 × 7 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"141","2.553191","2° 33' 11""","—","No","3 × 47","Blend of prime factors: H3 (ease/flow) + H47 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 47 quality blend activates at tight orb (<0.11°). Active only at near-exact contact.","3 × 47 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"142","2.535211","2° 32' 07""","—","No","2 × 71","Blend of prime factors: H2 (pressure/polarity) + H71 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 71 quality blend activates at tight orb (<0.11°). Active only at near-exact contact.","2 × 71 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"143","2.517483","2° 31' 03""","—","No","11 × 13","Blend of prime factors: H11 (Uranian excess) + H13 (transformation/lordship). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 11 × 13 quality blend activates at tight orb (<0.11°). Active only at near-exact contact.","11 × 13 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"144","2.5","2° 30' 00""","—","No","2^4 × 3^2","2⁴ × 3²: doubled zodiac completeness (12² = 144). Extreme integration of pressure and trine-joy; rare harmonic mastery signature.","Doubled-zodiac cycle completes; profound harmonic integration.","12² — squared zodiacal wholeness; the master harmonic grid.","Derived (factor blend)"
"145","2.482759","2° 28' 58""","—","No","5 × 29","Blend of prime factors: H5 (creative form) + H29 (paradigm options). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 5 × 29 quality blend activates at tight orb (<0.11°). Active only at near-exact contact.","5 × 29 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"146","2.465753","2° 27' 57""","—","No","2 × 73","Blend of prime factors: H2 (pressure/polarity) + H73 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 73 quality blend activates at tight orb (<0.11°). Active only at near-exact contact.","2 × 73 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"147","2.44898","2° 26' 56""","—","No","3 × 7^2","Blend of prime factors: H3 (ease/flow) + H7² (fate/inspiration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 7^2 quality blend activates at tight orb (<0.11°). Active only at near-exact contact.","3 × 7^2 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"148","2.432432","2° 25' 57""","—","No","2^2 × 37","Blend of prime factors: H2² (pressure/polarity) + H37 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 37 quality blend activates at tight orb (<0.11°). Active only at near-exact contact.","2^2 × 37 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"149","2.416107","2° 24' 58""","—","Yes","149","Prime H149: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"150","2.4","2° 24' 00""","—","No","2 × 3 × 5^2","Blend of prime factors: H2 (pressure/polarity) + H3 (ease/flow) + H5² (creative form). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 3 × 5^2 quality blend activates at tight orb (<0.11°). Active only at near-exact contact.","2 × 3 × 5^2 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"151","2.384106","2° 23' 03""","—","Yes","151","Prime H151: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"152","2.368421","2° 22' 06""","—","No","2^3 × 19","Blend of prime factors: H2³ (pressure/polarity) + H19 (abstract cerebral). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^3 × 19 quality blend activates at tight orb (<0.11°). Active only at near-exact contact.","2^3 × 19 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"153","2.352941","2° 21' 11""","—","No","3^2 × 17","Blend of prime factors: H3² (ease/flow) + H17 (narrative reconfiguration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3^2 × 17 quality blend activates at tight orb (<0.1°). Active only at near-exact contact.","3^2 × 17 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"154","2.337662","2° 20' 16""","—","No","2 × 7 × 11","Blend of prime factors: H2 (pressure/polarity) + H7 (fate/inspiration) + H11 (Uranian excess). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 7 × 11 quality blend activates at tight orb (<0.1°). Active only at near-exact contact.","2 × 7 × 11 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"155","2.322581","2° 19' 21""","—","No","5 × 31","Blend of prime factors: H5 (creative form) + H31 (limits of systems). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 5 × 31 quality blend activates at tight orb (<0.1°). Active only at near-exact contact.","5 × 31 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"156","2.307692","2° 18' 28""","—","No","2^2 × 3 × 13","Blend of prime factors: H2² (pressure/polarity) + H3 (ease/flow) + H13 (transformation/lordship). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 3 × 13 quality blend activates at tight orb (<0.1°). Active only at near-exact contact.","2^2 × 3 × 13 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"157","2.292994","2° 17' 35""","—","Yes","157","Prime H157: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
